id,Postcode,test
1,AB10,
2,AB11,
3,AB12,
4,AB13,
5,AB14,
6,AB15,
7,AB16,
8,AB21,
9,AB22,
10,AB23,
11,AB24,
12,AB25,
13,AB30,
14,AB31,
15,AB32,
16,AB33,
17,AB34,
18,AB35,
19,AB36,
20,AB37,
21,AB38,
22,AB39,
23,AB41,
24,AB42,
25,AB43,
26,AB44,
27,AB45,
28,AB51,
29,AB52,
30,AB53,
31,AB54,
32,AB55,
33,AB56,
34,DD1,
35,DD10,
36,DD11,
37,DD2,
38,DD3,
39,DD4,
40,DD5,
41,DD6,
42,DD7,
43,DD8,
44,DD9,
45,DG1,
46,DG10,
47,DG11,
48,DG12,
49,DG13,
50,DG14,
51,DG16,
52,DG2,
53,DG3,
54,DG4,
55,DG5,
56,DG6,
57,DG7,
58,DG8,
59,DG9,
60,EH1,1
61,EH10,1
62,EH11,1
63,EH12,1
64,EH13,1
65,EH14,1
66,EH15,1
67,EH16,1
68,EH17,1
69,EH18,
70,EH19,
71,EH2,1
72,EH20,
73,EH21,
74,EH22,
75,EH23,
76,EH24,
77,EH25,
78,EH26,
79,EH27,
80,EH28,1
81,EH29,1
82,EH3,1
83,EH30,1
84,EH31,
85,EH32,
86,EH33,
87,EH34,
88,EH35,
89,EH36,
90,EH37,
91,EH38,
92,EH39,
93,EH4,1
94,EH40,
95,EH41,
96,EH42,
97,EH43,
98,EH44,
99,EH45,
100,EH46,
101,EH47,
102,EH48,
103,EH49,
104,EH5,1
105,EH51,
106,EH52,
107,EH53,
108,EH54,
109,EH55,
110,EH6,1
111,EH7,1
112,EH8,1
113,EH9,1
114,FK1,
115,FK10,
116,FK11,
117,FK12,
118,FK13,
119,FK14,
120,FK15,
121,FK16,
122,FK17,
123,FK18,
124,FK19,
125,FK2,
126,FK20,
127,FK21,
128,FK3,
129,FK4,
130,FK5,
131,FK6,
132,FK7,
133,FK8,
134,FK9,
135,G1,
136,G11,
137,G12,
138,G13,
139,G14,
140,G15,
141,G2,
142,G20,
143,G21,
144,G22,
145,G23,
146,G3,
147,G31,
148,G32,
149,G33,
150,G34,
151,G4,
152,G40,
153,G41,
154,G42,
155,G43,
156,G44,
157,G45,
158,G46,
159,G5,
160,G51,
161,G52,
162,G53,
163,G60,
164,G61,
165,G62,
166,G63,
167,G64,
168,G65,
169,G66,
170,G67,
171,G68,
172,G69,
173,G71,
174,G72,
175,G73,
176,G74,
177,G75,
178,G76,
179,G77,
180,G78,
181,G81,
182,G82,
183,G83,
184,G84,
185,HS1,
186,HS2,
187,HS3,
188,HS4,
189,HS5,
190,HS6,
191,HS7,
192,HS8,
193,HS9,
194,IV1,
195,IV10,
196,IV11,
197,IV12,
198,IV13,
199,IV14,
200,IV15,
201,IV16,
202,IV17,
203,IV18,
204,IV19,
205,IV2,
206,IV20,
207,IV21,
208,IV22,
209,IV23,
210,IV24,
211,IV25,
212,IV26,
213,IV27,
214,IV28,
215,IV3,
216,IV30,
217,IV31,
218,IV32,
219,IV36,
220,IV4,
221,IV40,
222,IV41,
223,IV42,
224,IV43,
225,IV44,
226,IV45,
227,IV46,
228,IV47,
229,IV48,
230,IV49,
231,IV5,
232,IV51,
233,IV52,
234,IV53,
235,IV54,
236,IV55,
237,IV56,
238,IV6,
239,IV63,
240,IV7,
241,IV8,
242,IV9,
243,KA1,
244,KA10,
245,KA11,
246,KA12,
247,KA13,
248,KA14,
249,KA15,
250,KA16,
251,KA17,
252,KA18,
253,KA19,
254,KA2,
255,KA20,
256,KA21,
257,KA22,
258,KA23,
259,KA24,
260,KA25,
261,KA26,
262,KA27,
263,KA28,
264,KA29,
265,KA3,
266,KA30,
267,KA4,
268,KA5,
269,KA6,
270,KA7,
271,KA8,
272,KA9,
273,KW1,
274,KW10,
275,KW11,
276,KW12,
277,KW13,
278,KW14,
279,KW15,
280,KW16,
281,KW17,
282,KW2,
283,KW3,
284,KW5,
285,KW6,
286,KW7,
287,KW8,
288,KW9,
289,KY1,
290,KY10,
291,KY11,
292,KY12,
293,KY13,
294,KY14,
295,KY15,
296,KY16,
297,KY2,
298,KY3,
299,KY4,
300,KY5,
301,KY6,
302,KY7,
303,KY8,
304,KY9,
305,ML1,
306,ML10,
307,ML11,
308,ML12,
309,ML2,
310,ML3,
311,ML4,
312,ML5,
313,ML6,
314,ML7,
315,ML8,
316,ML9,
317,PA1,
318,PA10,
319,PA11,
320,PA12,
321,PA13,
322,PA14,
323,PA15,
324,PA16,
325,PA17,
326,PA18,
327,PA19,
328,PA2,
329,PA20,
330,PA21,
331,PA22,
332,PA23,
333,PA24,
334,PA25,
335,PA26,
336,PA27,
337,PA28,
338,PA29,
339,PA3,
340,PA30,
341,PA31,
342,PA32,
343,PA33,
344,PA34,
345,PA35,
346,PA36,
347,PA37,
348,PA38,
349,PA4,
350,PA41,
351,PA42,
352,PA43,
353,PA44,
354,PA45,
355,PA46,
356,PA47,
357,PA48,
358,PA49,
359,PA5,
360,PA6,
361,PA60,
362,PA61,
363,PA62,
364,PA63,
365,PA64,
366,PA65,
367,PA66,
368,PA67,
369,PA68,
370,PA69,
371,PA7,
372,PA70,
373,PA71,
374,PA72,
375,PA73,
376,PA74,
377,PA75,
378,PA76,
379,PA77,
380,PA78,
381,PA8,
382,PA80,
383,PA9,
384,PH1,
385,PH10,
386,PH11,
387,PH12,
388,PH13,
389,PH14,
390,PH15,
391,PH16,
392,PH17,
393,PH18,
394,PH19,
395,PH2,
396,PH20,
397,PH21,
398,PH22,
399,PH23,
400,PH24,
401,PH25,
402,PH26,
