id,latitude,longitude
0,55.976564,-3.447283
1,55.949619,-3.446277
2,55.947822,-3.44621
3,55.976602,-3.444079
4,55.974805,-3.444012
5,55.973009,-3.443946
6,55.971212,-3.443879
7,55.949656,-3.443076
8,55.94786,-3.443009
9,55.946063,-3.442942
10,55.944267,-3.442875
11,55.911932,-3.441673
12,55.910136,-3.441606
13,55.908339,-3.441539
14,55.906543,-3.441473
15,55.976639,-3.440876
16,55.974843,-3.440809
17,55.973046,-3.440742
18,55.97125,-3.440675
19,55.969454,-3.440609
20,55.967657,-3.440542
21,55.965861,-3.440475
22,55.964064,-3.440408
23,55.962268,-3.440341
24,55.949694,-3.439874
25,55.947897,-3.439807
26,55.946101,-3.439741
27,55.944304,-3.439674
28,55.942508,-3.439607
29,55.91197,-3.438474
30,55.910173,-3.438408
31,55.908377,-3.438341
32,55.90658,-3.438275
33,55.978473,-3.437739
34,55.976676,-3.437672
35,55.97488,-3.437605
36,55.973084,-3.437539
37,55.971287,-3.437472
38,55.969491,-3.437405
39,55.967695,-3.437339
40,55.965898,-3.437272
41,55.964102,-3.437205
42,55.962305,-3.437139
43,55.949731,-3.436672
44,55.947934,-3.436606
45,55.946138,-3.436539
46,55.944342,-3.436473
47,55.942545,-3.436406
48,55.940749,-3.43634
49,55.938953,-3.436273
50,55.9156,-3.435409
51,55.913803,-3.435342
52,55.912007,-3.435276
53,55.91021,-3.43521
54,55.908414,-3.435143
55,55.906618,-3.435077
56,55.980307,-3.434601
57,55.97851,-3.434535
58,55.976714,-3.434468
59,55.974917,-3.434402
60,55.973121,-3.434335
61,55.971325,-3.434269
62,55.969528,-3.434202
63,55.967732,-3.434136
64,55.965935,-3.434069
65,55.964139,-3.434003
66,55.962343,-3.433936
67,55.960546,-3.43387
68,55.949768,-3.433471
69,55.947972,-3.433404
70,55.946175,-3.433338
71,55.944379,-3.433272
72,55.942583,-3.433205
73,55.940786,-3.433139
74,55.93899,-3.433072
75,55.921026,-3.432409
76,55.91923,-3.432343
77,55.917433,-3.432277
78,55.915637,-3.43221
79,55.91384,-3.432144
80,55.912044,-3.432078
81,55.910248,-3.432011
82,55.908451,-3.431945
83,55.906655,-3.431879
84,55.904859,-3.431813
85,55.980344,-3.431397
86,55.978547,-3.431331
87,55.976751,-3.431264
88,55.974955,-3.431198
89,55.973158,-3.431132
90,55.971362,-3.431065
91,55.969565,-3.430999
92,55.967769,-3.430933
93,55.965973,-3.430866
94,55.964176,-3.4308
95,55.96238,-3.430734
96,55.960584,-3.430667
97,55.951602,-3.430336
98,55.949805,-3.430269
99,55.948009,-3.430203
